dt,symbol,shares,price,fee
2022-01-06 00:00:00+00:00,GOOG,366,136.47,29.968812
2022-01-07 00:00:00+00:00,AAPL,297,169.36,30.179952000000004
2022-01-10 00:00:00+00:00,AAPL,-2,165.62,0.19874400000000003
2022-01-11 00:00:00+00:00,GOOG,-2,137.14,0.164568
2022-01-11 00:00:00+00:00,AAPL,2,168.8,0.20256000000000002
2022-01-12 00:00:00+00:00,GOOG,-364,140.49,30.683016
2022-01-12 00:00:00+00:00,AAPL,-297,172.52,30.743064000000004
2022-01-26 00:00:00+00:00,GOOG,407,129.61,31.650762000000004
2022-01-26 00:00:00+00:00,AAPL,327,160.16,31.423392
2022-01-27 00:00:00+00:00,GOOG,-15,130.38,1.17342
2022-01-27 00:00:00+00:00,AAPL,-6,159.13,0.5728679999999999
2022-01-28 00:00:00+00:00,GOOG,-392,129.02,30.345504000000005
2022-01-28 00:00:00+00:00,AAPL,1,162.32,0.09739199999999999
2022-01-31 00:00:00+00:00,AAPL,-322,166.68,32.202576
2022-02-09 00:00:00+00:00,GOOG,376,139.79,31.536623999999996
2022-02-10 00:00:00+00:00,GOOG,-376,138.45,31.23432
2022-02-15 00:00:00+00:00,AAPL,312,167.69,31.391568
2022-02-17 00:00:00+00:00,AAPL,-312,167.75,31.4028
2022-02-23 00:00:00+00:00,GOOG,403,130.09,31.455762
2022-02-23 00:00:00+00:00,AAPL,321,162.36,31.270536000000003
2022-02-24 00:00:00+00:00,GOOG,-7,124.06,0.5210520000000001
2022-02-24 00:00:00+00:00,AAPL,-2,149.65,0.17958000000000002
2022-02-25 00:00:00+00:00,GOOG,-396,132.52,31.486752000000003
2022-02-25 00:00:00+00:00,AAPL,4,160.69,0.385656
2022-03-01 00:00:00+00:00,AAPL,-323,161.53,31.304514
2022-03-08 00:00:00+00:00,GOOG,414,125.3,31.124519999999997
2022-03-09 00:00:00+00:00,GOOG,-1,130.41,0.078246
2022-03-09 00:00:00+00:00,AAPL,338,158.38,32.119463999999994
2022-03-10 00:00:00+00:00,GOOG,-413,130.48,32.332944
2022-03-14 00:00:00+00:00,AAPL,4,148.54,0.35649600000000004
2022-03-15 00:00:00+00:00,AAPL,4,148.0,0.35519999999999996
2022-03-16 00:00:00+00:00,AAPL,-5,154.04,0.46212
2022-03-17 00:00:00+00:00,AAPL,-341,155.57,31.829621999999997
2022-04-08 00:00:00+00:00,GOOG,388,135.23,31.481544
2022-04-11 00:00:00+00:00,GOOG,3,131.9,0.23742000000000002
2022-04-11 00:00:00+00:00,AAPL,312,165.47,30.975984
2022-04-12 00:00:00+00:00,GOOG,3,131.43,0.236574
2022-04-13 00:00:00+00:00,GOOG,5,127.66,0.38298
2022-04-18 00:00:00+00:00,GOOG,-1,126.45,0.07587
2022-04-18 00:00:00+00:00,AAPL,-2,160.77,0.19292400000000004
2022-04-19 00:00:00+00:00,AAPL,-310,161.85,30.104100000000003
2022-04-20 00:00:00+00:00,GOOG,-398,130.3,31.11564
2022-04-25 00:00:00+00:00,GOOG,429,118.53,30.509622
2022-04-26 00:00:00+00:00,GOOG,-6,121.83,0.43858800000000003
2022-04-26 00:00:00+00:00,AAPL,324,159.14,30.936815999999997
2022-04-27 00:00:00+00:00,GOOG,-1,113.51,0.06810600000000001
2022-04-27 00:00:00+00:00,AAPL,2,152.92,0.183504
2022-04-28 00:00:00+00:00,GOOG,8,116.24,0.557952
2022-04-28 00:00:00+00:00,AAPL,-6,156.19,0.562284
2022-04-29 00:00:00+00:00,GOOG,-430,116.7,30.108600000000003
2022-04-29 00:00:00+00:00,AAPL,-320,158.73,30.47616
2022-05-02 00:00:00+00:00,GOOG,442,113.05,29.98086
2022-05-04 00:00:00+00:00,GOOG,-442,117.12,31.060224
2022-05-10 00:00:00+00:00,GOOG,457,115.17,31.579614000000003
2022-05-10 00:00:00+00:00,AAPL,343,152.76,31.438008000000004
2022-05-11 00:00:00+00:00,GOOG,-11,112.86,0.744876
2022-05-11 00:00:00+00:00,AAPL,-9,150.77,0.8141580000000002
2022-05-12 00:00:00+00:00,AAPL,9,140.23,0.757242
2022-05-13 00:00:00+00:00,AAPL,3,142.02,0.25563600000000003
2022-05-16 00:00:00+00:00,GOOG,-446,114.52,30.645552
2022-05-18 00:00:00+00:00,AAPL,-346,144.24,29.944224000000002
2022-05-20 00:00:00+00:00,GOOG,452,111.24,30.168287999999997
2022-05-20 00:00:00+00:00,AAPL,368,136.62,30.165696000000004
2022-05-23 00:00:00+00:00,GOOG,-3,109.28,0.19670400000000002
2022-05-23 00:00:00+00:00,AAPL,-7,135.34,0.568428
2022-05-24 00:00:00+00:00,GOOG,4,105.58,0.253392
2022-05-25 00:00:00+00:00,GOOG,8,104.35,0.50088
2022-05-25 00:00:00+00:00,AAPL,-361,135.97,29.451102
2022-05-26 00:00:00+00:00,GOOG,-3,105.25,0.18945
2022-05-27 00:00:00+00:00,GOOG,-458,108.96,29.942208
2022-06-13 00:00:00+00:00,GOOG,443,106.64,28.344912
2022-06-13 00:00:00+00:00,AAPL,364,130.51,28.503384
2022-06-14 00:00:00+00:00,GOOG,16,106.09,1.018464
2022-06-14 00:00:00+00:00,AAPL,12,130.77,0.9415440000000002
2022-06-15 00:00:00+00:00,AAPL,-1,131.9,0.07914000000000002
2022-06-16 00:00:00+00:00,AAPL,2,129.73,0.15567599999999998
