datetime,equity,cash,positions_value,gross_exposure,net_exposure,num_positions,daily_return
2022-01-03 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2022-01-04 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2022-01-05 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2022-01-06 00:00:00+00:00,99988.33118800001,50022.011188000004,49966.32000000001,49966.32000000001,49966.32000000001,1,-0.00011668811999987483
2022-01-07 00:00:00+00:00,99549.641236,-308.0887640000001,99857.73,99857.73,99857.73,2,-0.004387411478797287
2022-01-10 00:00:00+00:00,100116.582492,22.95249199999995,100093.63,100093.63,100093.63,2,0.005695060765271487
2022-01-11 00:00:00+00:00,101479.84536400001,-40.73463600000008,101520.58,101520.58,101520.58,2,0.013616753968893613
2022-01-12 00:00:00+00:00,102274.639284,102274.639284,0.0,0.0,0.0,0,0.007832037161163763
2022-01-13 00:00:00+00:00,102274.639284,102274.639284,0.0,0.0,0.0,0,0.0
2022-01-14 00:00:00+00:00,102274.639284,102274.639284,0.0,0.0,0.0,0,0.0
2022-01-18 00:00:00+00:00,102274.639284,102274.639284,0.0,0.0,0.0,0,0.0
2022-01-19 00:00:00+00:00,102274.639284,102274.639284,0.0,0.0,0.0,0,0.0
2022-01-20 00:00:00+00:00,102274.639284,102274.639284,0.0,0.0,0.0,0,0.0
2022-01-21 00:00:00+00:00,102274.639284,102274.639284,0.0,0.0,0.0,0,0.0
2022-01-24 00:00:00+00:00,102274.639284,102274.639284,0.0,0.0,0.0,0,0.0
2022-01-25 00:00:00+00:00,102274.639284,102274.639284,0.0,0.0,0.0,0,0.0
2022-01-26 00:00:00+00:00,100443.20513000002,-2912.024869999994,103355.23000000001,103355.23000000001,103355.23000000001,2,-0.01790702139671585
2022-01-27 00:00:00+00:00,100294.66884200001,-3.291157999994084,100297.96,100297.96,100297.96,2,-0.0014788087238729597
2022-01-28 00:00:00+00:00,104105.485946,50379.78594600001,53725.69999999999,53725.7,53725.69999999999,1,0.037996208053723945
2022-01-31 00:00:00+00:00,104018.54337,104018.54337,0.0,0.0,0.0,0,-0.0008351392360350651
2022-02-01 00:00:00+00:00,104018.54337,104018.54337,0.0,0.0,0.0,0,0.0
2022-02-02 00:00:00+00:00,104018.54337,104018.54337,0.0,0.0,0.0,0,0.0
2022-02-03 00:00:00+00:00,104018.54337,104018.54337,0.0,0.0,0.0,0,0.0
2022-02-04 00:00:00+00:00,104018.54337,104018.54337,0.0,0.0,0.0,0,0.0
2022-02-07 00:00:00+00:00,104018.54337,104018.54337,0.0,0.0,0.0,0,0.0
2022-02-08 00:00:00+00:00,104018.54337,104018.54337,0.0,0.0,0.0,0,0.0
2022-02-09 00:00:00+00:00,104212.606746,51425.966746000006,52786.64,52786.63999999999,52786.64,1,0.0018656613495318108
2022-02-10 00:00:00+00:00,103451.932426,103451.932426,0.0,0.0,0.0,0,-0.007299254320103699
2022-02-11 00:00:00+00:00,103451.932426,103451.932426,0.0,0.0,0.0,0,0.0
2022-02-14 00:00:00+00:00,103451.932426,103451.932426,0.0,0.0,0.0,0,0.0
2022-02-15 00:00:00+00:00,103975.90085800001,51101.260858,52874.64000000001,52874.64,52874.64000000001,1,0.005064849149867712
2022-02-16 00:00:00+00:00,103904.140858,51101.260858,52802.88,52802.880000000005,52802.88,1,-0.0006901599255967339
2022-02-17 00:00:00+00:00,103407.858058,103407.858058,0.0,0.0,0.0,0,-0.004776352471632883
2022-02-18 00:00:00+00:00,103407.858058,103407.858058,0.0,0.0,0.0,0,0.0
2022-02-22 00:00:00+00:00,103407.858058,103407.858058,0.0,0.0,0.0,0,0.0
2022-02-23 00:00:00+00:00,100281.55175999999,-1198.6982400000124,101480.25,101480.25,101480.25,2,-0.030232772989519874
2022-02-24 00:00:00+00:00,102947.13112799998,-31.678872000012404,102978.81,102978.81,102978.81,2,0.026580954534682677
2022-02-25 00:00:00+00:00,103997.47872,51771.60872,52225.87,52225.87,52225.87,1,0.010202786425335786
2022-02-28 00:00:00+00:00,104081.45872,51771.60872,52309.85,52309.85,52309.85,1,0.0008075195767591747
2022-03-01 00:00:00+00:00,103914.494206,103914.494206,0.0,0.0,0.0,0,-0.001604171540765531
2022-03-02 00:00:00+00:00,103914.494206,103914.494206,0.0,0.0,0.0,0,0.0
2022-03-03 00:00:00+00:00,103914.494206,103914.494206,0.0,0.0,0.0,0,0.0
2022-03-04 00:00:00+00:00,103914.494206,103914.494206,0.0,0.0,0.0,0,0.0
2022-03-07 00:00:00+00:00,103914.494206,103914.494206,0.0,0.0,0.0,0,0.0
2022-03-08 00:00:00+00:00,104305.649686,52009.16968600001,52296.479999999996,52296.479999999996,52296.479999999996,1,0.0037642052053352693
2022-03-09 00:00:00+00:00,107465.281976,-1425.0580239999908,108890.34,108890.34,108890.34,2,0.03029205320624251
2022-03-10 00:00:00+00:00,104983.089032,52430.849032000006,52552.24,52552.24,52552.24,1,-0.023097626492566525
2022-03-11 00:00:00+00:00,103725.729032,52430.849032000006,51294.88,51294.88,51294.88,1,-0.011976786086154712
2022-03-14 00:00:00+00:00,102359.992536,51836.33253600001,50523.659999999996,50523.659999999996,50523.659999999996,1,-0.013166805466160225
2022-03-15 00:00:00+00:00,103874.03733600001,51243.97733600001,52630.06,52630.060000000005,52630.06,1,0.01479137270811659
2022-03-16 00:00:00+00:00,105390.44521600002,52013.71521600001,53376.73000000001,53376.73,53376.73000000001,1,0.014598526435387393
2022-03-17 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,-0.0034081801368600617
2022-03-18 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-03-21 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-03-22 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-03-23 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-03-24 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-03-25 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-03-28 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-03-29 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-03-30 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-03-31 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-04-01 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-04-04 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-04-05 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-04-06 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-04-07 00:00:00+00:00,105031.25559400002,105031.25559400002,0.0,0.0,0.0,0,0.0
2022-04-08 00:00:00+00:00,104134.53405000002,52530.53405000002,51604.0,51604.0,51604.0,1,-0.00853766375474263
2022-04-11 00:00:00+00:00,101567.440646,476.98064600001817,101090.45999999999,101090.45999999999,101090.45999999999,2,-0.024651701065541154
2022-04-12 00:00:00+00:00,101587.27407200003,82.45407200001813,101504.82,101504.82,101504.82,2,0.00019527346434911053
2022-04-13 00:00:00+00:00,103183.02109200002,-556.2289079999819,103739.25,103739.25,103739.25,2,0.015708138982733377
2022-04-14 00:00:00+00:00,100418.91109200002,-556.2289079999819,100975.14,100975.14,100975.14,2,-0.026788418973849093
2022-04-18 00:00:00+00:00,100626.49229800001,-108.5077019999818,100735.0,100735.0,100735.0,2,0.0020671525287683234
2022-04-19 00:00:00+00:00,101595.78819800002,50034.88819800002,51560.9,51560.9,51560.9,1,0.009632611431286797
2022-04-20 00:00:00+00:00,101863.17255800002,101863.17255800002,0.0,0.0,0.0,0,0.002631844929229743
2022-04-21 00:00:00+00:00,101863.17255800002,101863.17255800002,0.0,0.0,0.0,0,0.0
2022-04-22 00:00:00+00:00,101863.17255800002,101863.17255800002,0.0,0.0,0.0,0,0.0
2022-04-25 00:00:00+00:00,103458.57293600001,50983.29293600002,52475.27999999999,52475.28,52475.27999999999,1,0.015662190151122468
2022-04-26 00:00:00+00:00,100121.52753200001,121.53753200002393,99999.98999999999,99999.98999999999,99999.98999999999,2,-0.03225489497196443
2022-04-27 00:00:00+00:00,98165.03592200001,-71.04407799997608,98236.07999999999,98236.07999999999,98236.07999999999,2,-0.019541168200561843
2022-04-28 00:00:00+00:00,102258.65568600003,-64.94431399997598,102323.6,102323.6,102323.6,2,0.041701403412643945
2022-04-29 00:00:00+00:00,100849.07092600001,100849.07092600001,0.0,0.0,0.0,0,-0.013784503136129111
2022-05-02 00:00:00+00:00,102246.75006600001,50850.99006600001,51395.759999999995,51395.76,51395.759999999995,1,0.013859117661337406
2022-05-03 00:00:00+00:00,102671.07006600001,50850.99006600001,51820.08,51820.079999999994,51820.08,1,0.004149960754020077
2022-05-04 00:00:00+00:00,102586.96984200002,102586.96984200002,0.0,0.0,0.0,0,-0.0008191228935856554
2022-05-05 00:00:00+00:00,102586.96984200002,102586.96984200002,0.0,0.0,0.0,0,0.0
2022-05-06 00:00:00+00:00,102586.96984200002,102586.96984200002,0.0,0.0,0.0,0,0.0
2022-05-09 00:00:00+00:00,102586.96984200002,102586.96984200002,0.0,0.0,0.0,0,0.0
2022-05-10 00:00:00+00:00,101521.73222,-2505.4177799999816,104027.15,104027.15,104027.15,2,-0.01038375169517769
2022-05-11 00:00:00+00:00,98601.07318600002,91.41318600001864,98509.66,98509.66,98509.66,2,-0.02876880614754329
2022-05-12 00:00:00+00:00,96949.13594400002,-1171.4140559999812,98120.55,98120.55,98120.55,2,-0.016753745051879987
2022-05-13 00:00:00+00:00,99974.71030800002,-1597.7296919999812,101572.44,101572.44,101572.44,2,0.03120785280384175
2022-05-16 00:00:00+00:00,98908.24475600001,49447.54475600002,49460.7,49460.7,49460.7,1,-0.010667353260784274
2022-05-17 00:00:00+00:00,100167.68475600002,49447.54475600002,50720.14,50720.14,50720.14,1,0.012733417756092491
2022-05-18 00:00:00+00:00,99324.64053200002,99324.64053200002,0.0,0.0,0.0,0,-0.008416329338684192
2022-05-19 00:00:00+00:00,99324.64053200002,99324.64053200002,0.0,0.0,0.0,0,0.0
2022-05-20 00:00:00+00:00,97480.34654800002,-1292.3334519999771,98772.68,98772.68,98772.68,2,-0.018568342901838286
2022-05-23 00:00:00+00:00,100490.56141600003,-17.878583999977195,100508.44,100508.44,100508.44,2,0.030880223292166553
2022-05-24 00:00:00+00:00,96954.50802400001,-440.4519759999772,97394.95999999999,97394.95999999999,97394.95999999999,2,-0.03518791558305501
2022-05-25 00:00:00+00:00,96208.01604200002,47779.96604200002,48428.049999999996,48428.049999999996,48428.049999999996,1,-0.007699404568328183
2022-05-26 00:00:00+00:00,97321.36659200003,48095.526592000024,49225.84000000001,49225.840000000004,49225.84000000001,1,0.011572326255163468
2022-05-27 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0066573026529330726
2022-05-31 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0
2022-06-01 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0
2022-06-02 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0
2022-06-03 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0
2022-06-06 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0
2022-06-07 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0
2022-06-08 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0
2022-06-09 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0
2022-06-10 00:00:00+00:00,97969.26438400002,97969.26438400002,0.0,0.0,0.0,0,0.0
2022-06-13 00:00:00+00:00,97306.82608800002,3165.2560880000237,94141.56999999999,94141.56999999999,94141.56999999999,2,-0.006761695110861665
2022-06-14 00:00:00+00:00,97760.02608000003,-103.38391999997657,97863.41,97863.41,97863.41,2,0.004657432681959506
2022-06-15 00:00:00+00:00,100198.97694000004,28.43694000002344,100170.54000000001,100170.54000000001,100170.54000000001,2,0.024948345021963636
2022-06-16 00:00:00+00:00,96511.13126400003,-231.17873599997657,96742.31,96742.31,96742.31,2,-0.036805222853805386
2022-06-17 00:00:00+00:00,97622.54428200002,-41.97571799997661,97664.51999999999,97664.51999999999,97664.51999999999,2,0.01151590498882249
2022-06-21 00:00:00+00:00,99084.69257400002,99084.69257400002,0.0,0.0,0.0,0,0.014977567966025562
2022-06-22 00:00:00+00:00,99084.69257400002,99084.69257400002,0.0,0.0,0.0,0,0.0
2022-06-23 00:00:00+00:00,99084.69257400002,99084.69257400002,0.0,0.0,0.0,0,0.0
2022-06-24 00:00:00+00:00,99084.69257400002,99084.69257400002,0.0,0.0,0.0,0,0.0
2022-06-27 00:00:00+00:00,99084.69257400002,99084.69257400002,0.0,0.0,0.0,0,0.0
2022-06-28 00:00:00+00:00,99084.69257400002,99084.69257400002,0.0,0.0,0.0,0,0.0
2022-06-29 00:00:00+00:00,99084.69257400002,99084.69257400002,0.0,0.0,0.0,0,0.0
2022-06-30 00:00:00+00:00,99084.69257400002,99084.69257400002,0.0,0.0,0.0,0,0.0
2022-07-01 00:00:00+00:00,99392.71510200002,50026.15510200002,49366.56,49366.560000000005,49366.56,1,0.0031086792520444995
2022-07-05 00:00:00+00:00,101586.60302400003,49705.83302400002,51880.770000000004,51880.770000000004,51880.770000000004,1,0.022072924758606005
2022-07-06 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0006418533749434907
2022-07-07 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-08 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-11 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-12 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-13 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-14 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-15 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-18 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-19 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-20 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-21 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-22 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-25 00:00:00+00:00,101651.80672800003,101651.80672800003,0.0,0.0,0.0,0,0.0
2022-07-26 00:00:00+00:00,100689.73797200003,51190.28797200002,49499.45000000001,49499.450000000004,49499.45000000001,1,-0.009464354712103606
2022-07-27 00:00:00+00:00,104552.27582800001,50319.52582800002,54232.74999999999,54232.75,54232.74999999999,1,0.03836078962757927
2022-07-28 00:00:00+00:00,104135.16705800002,104135.16705800002,0.0,0.0,0.0,0,-0.003989475759343386
2022-07-29 00:00:00+00:00,104135.16705800002,104135.16705800002,0.0,0.0,0.0,0,0.0
